,Al-Qadsiya, Block 1,35701
,Al-Qadsiya, Block 2,35702
,Al-Qadsiya, Block 3,35703
,Al-Qadsiya, Block 4,35704
,Al-Qadsiya, Block 5,35705
,Al-Qadsiya, Block 6,35706
,Al-Qadsiya, Block 7,35707
,Al-Qadsiya, Block 8,35708
,Al-Qadsiya, Block 9,35709
,Al-Surra, Block 1,45401
,Al-Surra, Block 2,45402
,Al-Surra, Block 3,45403
,Al-Surra, Block 4,45404
,Al-Surra, Block 5,45405
,Al-Surra, Block 6,45406
,Shuwaikh, Shuwaikh Administrative,70030
,Shuwaikh, Shuwaikh Educational,70030
,Shuwaikh Island, Block 1,70031
,Shuwaikh Island, Block 2,70032
,Shuwaikh Island, Block 3,70033
,Shuwaikh Island, Block 4,70034
,Shuwaikh Island, Block 5,70035
,Shuwaikh Island, Block 6,70036
,Shuwaikh Island, Block 7,70037
,Shuwaikh Island, Block 8,70038
,Shuwaikh, Shuwaikh Industrial Port,70051
,Shamiya, Block 1,71501
,Shamiya, Block 2,71502
,Shamiya, Block 3,71503
,Shamiya, Block 4,71504
,Shamiya, Block 5,71505
,Shamiya, Block 6,71506
,Shamiya, Block 7,71507
,Shamiya, Block 8,71508
,Shamiya, Block 9,71509
,Kaifan, Block 1,71801
,Kaifan, Block 2,71802
,Kaifan, Block 3,71803
,Kaifan, Block 4,71804
,Kaifan, Block 5,71805
,Kaifan, Block 6,71806
,Kaifan, Block 7,71807
,Dahiya Abduallah al Salem, Block 1,72101
,Dahiya Abduallah al Salem, Block 2,72102
,Dahiya Abduallah al Salem, Block 3,72103
,Dahiya Abduallah al Salem, Block 4,72104
,Al-Khaldiya, Block 1,72301
,Al-Khaldiya, Block 2,72302
,Al-Khaldiya, Block 3,72303
,Al-Khaldiya, Block 4,72304
,Al-Yarmuk, Block 1,72501
,Al-Yarmuk, Block 2,72502
,Al-Yarmuk, Block 3,72503
,Al-Yarmuk, Block 4,72504
,Al-Faiha, Block 1,72701
,Al-Faiha, Block 2,72702
,Al-Faiha, Block 3,72703
,Al-Faiha, Block 4,72704
,Al-Faiha, Block 5,72705
,Al-Faiha, Block 6,72706
,Al-Faiha, Block 7,72707
,Al-Faiha, Block 8,72708
,Al-Faiha, Block 9,72709
,Al-Nuzha, Block 1,72901
,Al-Nuzha, Block 2,72902
,Al-Nuzha, Block 3,72903
,Al-Adailiya, Block 1,73101
,Al-Adailiya, Block 2,73102
,Al-Adailiya, Block 3,73103
,Al-Adailiya, Block 4,73104
,Al-Rawda, Block 1,73301
,Al-Rawda, Block 2,73302
,Al-Rawda, Block 3,73303
,Al-Rawda, Block 4,73304
,Al-Rawda, Block 5,73305
,Qortuba, Block 1,73501
,Qortuba, Block 2,73502
,Qortuba, Block 3,73503
,Qortuba, Block 4,73504
,Qortuba, Block 5,73505
,Sulaibikhat, Block 1,90001
,Sulaibikhat, Block 2,90002
,Sulaibikhat, Block 3,90003
,Sulaibikhat, Block 4,90004
,Sulaibikhat, Shamiya & Shuwaikh Coop,90007
,Al Dasma, Block 11 to 30,93001
,Al Dasma, Block 31 to 50,93002
,Al Dasma, Block 51 to 69,93003
,Al Dasma, Block 71 to 90,93004
,Al Dasma, Service Center,93005
,Al Dasma, Schools Block,93006
,Al Dasma, Barr Doha,93007
,Shuwaikh, Shuwaikh Residential, Block 1,70031
,Shuwaikh, Shuwaikh Residential, Block 2,70032
,Shuwaikh, Shuwaikh Residential, Block 3,70033
,Shuwaikh, Shuwaikh Residential, Block 4,70034
,Shuwaikh, Shuwaikh Residential, Block 5,70035
Al-Jahra,Al Jahra,00003
,Al Jahra,00020
,Al Jahra,00021
,Al Jahra,00022
,Al Jahra,00023
,Al Jahra,00024
,Al Jahra,00025
,Al Jahra,00026
,Al Jahra,00027
,Al Jahra,00028
,Al Jahra,00029
,Al Jahra,00030
,Al Jahra,00031
,Al Jahra,00032
,Al-Na'eem,00005
,Al-Na'eem,00060
,Al-Na'eem,00061
,Al-Na'eem,00062
,Al-Na'eem,00063
,Al-Na'eem,00064
,Al-Na'eem,00065
,Al Salmiya,03000
,Al Salmiya,03001
,Al Salmiya,03010
,Abdali,03200
,Abdali,03201
,Abdali,03210
,Almtalaa,03400
,Almtalaa,03401
,Almtalaa,03410
Hawalli,Maydan Hawalli,20011
,Al-Bidea,25000
,Salwá,25600
,Huli District,30000
,Jabriya,46300
,Al-Salimiya, Block 10, Square about,20010
,Al-Salimiya, Block 1,20001
,Al-Salimiya, Block 2,20002
,Al-Salimiya, Block 3,20003
,Al-Salimiya, Block 4,20004
,Al-Salimiya, Block 5,20005
,Al-Salimiya, Block 6,20006
,Al-Salimiya, Block 7,20007
,Al-Salimiya, Block 8,20008
,Al-Salimiya, Block 9,20009
,Al-Salimiya, Block 11,20011
,Al-Salimiya, Block 12,20012
,Al-Salimiya, Salimiyah-Block-13,20012
,Al-Salimiya, Block 13,20013
,Rumaithiya, Block 1,25401
,Rumaithiya, Block 2,25402
,Rumaithiya, Block 3,25403
,Rumaithiya, Block 4,25404
,Rumaithiya, Block 5,25405
,Rumaithiya, Block 6,25406
,Rumaithiya, Block 7,25407
,Rumaithiya, Block 8,25408
,Rumaithiya, Block 9,25409
,Rumaithiya, Block 10,25410
,Rumaithiya, Block 11,25411
,Rumaithiya, Block 12,25412
,Al-Sha'ab, Block 1,35901
,Al-Sha'ab, Block 2,35902
,Al-Sha'ab, Block 3,35903
,Al-Sha'ab, Block 4,35904
,Al-Sha'ab, Block 5,35905
,Al-Sha'ab, Block 6,35906
,Al-Sha'ab, Block 7,35907
,Al-Sha'ab, Block 8,35908
,Mishref, Block 1,40001
,Mishref, Block 2,40002
,Mishref, Block 3,40003
,Mishref, Block 4,40004
,Mishref, Block 5,40005
,Mishrif, Block 6,40006
,Bayan, Block 1,43601
,Bayan, Block 2,43602
,Bayan, Block 3,43603
,Bayan, Block 4,43604
,Bayan, Block 5,43605
,Bayan, Block 6,43606
,Bayan, Block 7,43607
,Bayan, Block 8,43608
,Bayan, Block 9,43609
,Bayan, Block 10,43610
,Bayan, Block 11,43611
,Bayan, Block 12,43612
Mubarak Al-Kabeer,Al-Messila,26600
,Sabah Al-Salem,44000
,Sabhan,46000
,Al-Adan,47000
,Al-Qusor,47020
,Al-Qurain,47040
,Mubarak Al-Kabeer,47060
,East Al-Qurain,47080
,Al-Messila, Block 1,26601
,Al-Messila, Block 2,26602
,Al-Messila, Block 3,26603
,Al-Messila, Block 4,26604
,Al-Messila, Block 5,26605
,Al-Messila, Block 6,26606
,Al-Messila, Block 7,26607
,Al-Messila, Block 8,26608
,Al-Messila, Block 9,26609
,Al-Messila, Block 10,26610
,Sabah Al-Salem, Block 1,44001
,Sabah Al-Salem, Block 2,44002
,Sabah Al-Salem, Block 3,44003
,Sabah Al-Salem, Block 4,44004
,Sabah Al-Salem, Block 5,44005
,Sabah Al-Salem, Block 6,44006
,Sabah Al-Salem, Block 7,44007
,Sabah Al-Salem, Block 8,44008
,Sabah Al-Salem, Block 9,44009
,Sabah Al-Salem, Block 10,44010
,Sabah Al-Salem, Block 11,44011
,Sabah Al-Salem, Block 12,44012
,Sabah Al-Salem, Block 13,44013
,Sabah Al-Salem, Block B,44100
,Sabhan, Block 1,46001
,Sabhan, Block 2,46002
,Sabhan, Block 3,46003
,Sabhan, Block 4,46004
,Sabhan, Block 5,46005
,Sabhan, Block 6,46006
,Sabhan, Block 7,46007
,Sabhan, Block 8,46008
,Sabhan, Block 9,46009
,Sabhan, Block 10,46010
,Sabhan, Block 11,46011
,Sabhan, Block 12,46012
,Al-Adan, Block 1,47001
,Al-Adan, Block 2,47002
,Al-Adan, Block 3,47003
,Al-Adan, Block 4,47004
,Al-Adan, Block 5,47005
,Al-Adan, Block 6,47006
,Al-Adan, Block 7,47007
,Al-Adan, Block 8,47008
,Al-Adan, Block 9,47009
,Al-Adan, Block 10,47010
,Al-Adan, Block 11,47011
,Al-Adan, Block 12,47012
,Al-Qusor, Block 1,47021
,Al-Qusor, Block 2,47022
,Al-Qusor, Block 3,47023
,Al-Qusor, Block 4,47024
,Al-Qusor, Block 5,47025
,Al-Qusor, Block 6,47026
,Al-Qusor, Block 7,47027
,Al-Qusor, Block 8,47028
,Al-Qusor, Block 9,47029
,Al-Qusor, Block 10,47030
,Al-Qusor, Block 11,47031
,Al-Qusor, Block 12,47032
,Al-Qurain, Block 1,47041
,Al-Qurain, Block 2,47042
,Al-Qurain, Block 3,47043
,Al-Qurain, Block 4,47044
,Al-Qurain, Block 5,47045
,Al-Qurain, Block 6,47046
,Al-Qurain, Block 7,47047
,Al-Qurain, Block 8,47048
,Al-Qurain, Block 9,47049
,Al-Qurain, Block 10,47050
,Al-Qurain, Block 11,47051
,Al-Qurain, Block 12,47052
,Mubarak Al-Kabeer, Block 1,47061
,Mubarak Al-Kabeer, Block 2,47062
,Mubarak Al-Kabeer, Block 3,47063
,Mubarak Al-Kabeer, Block 4,47064
,Mubarak Al-Kabeer, Block 5,47065
,Mubarak Al-Kabeer, Block 6,47066
,Mubarak Al-Kabeer, Block 7,47067
,Mubarak Al-Kabeer, Block 8,47068
,Mubarak Al-Kabeer, Block 9,47069
,Mubarak Al-Kabeer, Block 10,47070
,Mubarak Al-Kabeer, Block 11,47071
,Mubarak Al-Kabeer, Block 12,47072
,East Al-Qurain, Block 1,47081
,East Al-Qurain, Block 2,47082
,East Al-Qurain, Block 3,47083
,East Al-Qurain, Block 4,47084
,East Al-Qurain, Block 5,47085
,East Al-Qurain, Block 6,47086
,East Al-Qurain, Block 7,47087
,East Al-Qurain, Block 8,47088
,East Al-Qurain, Block 9,47089
,East Al-Qurain, Block 10,47090
,East Al-Qurain, Block 11,47091
,East Al-Qurain, Block 12,47092
Al-Farwaniyah,Al Farwaniyah,85000
,Jleeb Al-Shuyoukh,85601
,Al-Ardiya,92400
,Al-Firdous, Block 1,92201
,Al-Firdous, Block 2,92202
,Al-Firdous, Block 3,92203
,Al-Firdous, Block 4,92204
,Al-Firdous, Block 5,92205
,Al-Firdous, Block 6,92206
,Al-Firdous, Block 7,92207
,Al-Firdous, Block 8,92208
,Al-Firdous, Block 9,92209
,Al-Omariya, Block 1,85001
,Al-Omariya, Block 2,85002
,Al-Omariya, Block 3,85003
,Al-Omariya, Block 4,85004
,Al-Omariya, Block 5,85005
,Al-Rabia, Block 1,85201
,Al-Rabia, Block 2,85202
,Al-Rabia, Block 3,85203
,Al-Rabia, Block 4,85204
,Al-Rabia, Block 5,85205
,Al-Rahab, Block 1,86000
,Al-Rahab, Block 2,86001
,Al-Rahab, Block 3,86002
,Al-Rahab, Block 4,86003
,Al-Rahab, Block 5,86004
,Al-Rahab, Block 6,86005
,Al-Rahab, Block 7,86006
,Al-Rahab, Block 8,86007
,Al-Rahab, Block 9,86008
,Al-Rahab, Block 10,86009
,Al-Rahab, Block 11,86010
,Al-Rahab, Block 12,86011
,Al-Rahab, Block 13,86012
,Al-Riggae,92700
,Andalus,92000
,Al-Ardiya,85600
,Al-Sideeq,85600
,Hassawi,85600
,Jaleeb Al-Shuyoukh,85600
,Jeleeb Al-Shuyoukh,85600
,Khaitan, North Khaitan,83001
,Khaitan, North Khaitan,83002
